country_actual,country,KII,Hofstede,trust
Canada,a,-1.2356321,1.8713289,1.0383579
Switzerland,b,-1.2358642,1.3254503,1.2546492
Chile,c,-1.166038,-0.72159445,0.33683807
China,d,0.16406122,-0.85806412,-1.3107071
Colombia,e,-1.4233196,-1.1764933,-0.16975245
Germany,f,-1.0146278,1.2799605,0.35256407
Ecuador,g,-1.309034,-1.4039427,0.52610987
Egypt,h,1.3558155,-0.6306147,-1.901853
Spain,I,-1.4908741,0.55212229,0.04838413
Estonia,j,-0.80251205,0.96153128,0.090082861
Ethiopia,k,0.079772778,-0.85806412,-0.039441355
Finland,l,0.30860728,1.0980009,0.93592155
Great Britain,m,-1.2694761,2.2807379,1.1662914
Ghana,n,1.1213567,-1.0855135,0.83096248
Hong Kong Special Administrative Region of China,o,0.11882021,-0.6306147,0.31619173
India,p,0.34368587,0.41565266,0.50376451
Iraq,q,1.5476506,-0.40316525,-1.4789642
Republic of Korea,r,-0.36172855,-0.94904387,0.000496124
Mexico,s,-1.3511089,-0.40316525,-0.31470808
Sweden,t,-1.2657844,1.46192,1.6438758
